"word","definition","synonyms","example"
"potent","having or wielding force, authority, or influence : powerful","concentrated, full, full-bodied, rich","The potent medicine quickly relieved her symptoms."
"prudent","clever and careful in action and judgment","discreet, judicious","It is considered prudent for a married man to have life insurance."
"console","the part of an organ at which the organist sits and which contains the keyboard and controls","buffet","The church organist sat at the ornate wooden console."
"subtle","delicate, elusive","artful, beguiling, cagey, crafty","His subtle hint about the surprise party went unnoticed."
"facile","easily done, handled, or achieved","one-dimensional, shallow, skin-deep, superficial","For some complex problems, there are no facile solutions."
"vex","to bring trouble, distress, or worry to","aggravate","The constant noise from construction began to vex the residents."
"pathos","an element in life or in artistic representation of it that moves one to pity","","The movie's pathos made everyone in the theater cry."
"wax","to grow larger or stronger; to increase","grow, increase, expand, swell","The moon will wax until it becomes full next week."
"shrewd","showing quick practical cleverness : astute; also : marked by clever dealing that takes advantage","astute","A shrewd person knows his/her strengths and weaknesses."
"smite","to strike sharply or heavily especially with the hand or a hand weapon","bang","The ancient warrior threatened to smite his enemies with his sword."
"defer","postpone, put off","delay","I will defer my vacation until after the busy season."
"breach","violation of a law, duty, or tie","infraction, infringement, transgression, trespass","The data breach exposed thousands of customer records."
"petty","lesser in rank or importance : minor","insular, little, narrow, narrow-minded","She refused to get involved in petty office gossip."
"sage","wise, prudent","discerning","The sage old professor offered wise advice to his students."
"haughty","rudely proud in a manner that expresses scorn for others : arrogant","arrogant, cavalier, high-handed, high-hat","Her haughty attitude made it difficult to approach her."
"query","to ask questions; a question or inquiry","question, inquiry, ask, interrogate","The customer submitted a query about his account balance."
"credulous","ready to believe especially on little evidence","","A credulous person is often the first to be robbed."
"plea","a defendant's answer to a lawsuit or to a criminal charge","appeal, cry, entreaty, petition","The defendant entered a plea of not guilty."
"accede","to give consent : agree","acquiesce","The company decided to accede to the workers' demands."
"concur","to act together : combine","agree","I concur with your assessment of the situation."
"impede","to interfere with the movement or progress of","clog","Doctors had to operate to remove the obstacle which impeded the flow of blood to his heart."
"acquiesce","to accept, agree, or give consent by keeping silent or by not raising objections","accede","She chose to acquiesce rather than fight the decision."
"usurp","to seize and hold by force or without right","appropriate","The general attempted to usurp power from the rightful king."
"candid","marked by or showing sincere honesty : frank","direct","His candid response surprised everyone in the room."
"incredulous","feeling or showing an inability to believe something : skeptical","disbelieving","She gave him an incredulous look when he claimed to be a millionaire."
"feign","to give a false appearance of : fake","affect","She tried to feign interest in his boring story."
"enmity","a very deep unfriendly feeling : hatred","animosity","The enmity between the two families lasted for generations."
"impair","to damage or make worse by or as if by making smaller, less, or weaker","blemish","The accident could impair his ability to walk normally."
"hamper","to slow the movement, progress, or action of","clog","Rain and snow hampered the construction of the building."
"deter","to turn aside, discourage, or prevent from acting","discourage","The high price should deter most impulse buyers."
"indolent","disliking effort or activity : lazy","idle","His indolent lifestyle led to poor health and fitness."
"extinct","no longer active","bygone","Dinosaurs became extinct millions of years ago."
"aloof","at a distance : out of involvement","antisocial","She remained aloof from the office politics."
"odious","causing hatred or strong dislike : worthy of hatred","abhorrent","His odious behavior made him unpopular with everyone."
"evoke","to call forth or up : summon","educe","The old photograph helped evoke memories of childhood."
"boon","something asked or granted as a favor","companionable","The new highway was a boon to local businesses."
"stealthy","slow, deliberate, and secret in action or character","furtive, shady, shifty, slippery","The cat made a stealthy approach toward the bird."
"lucid","bright with light : luminous","beaming, bedazzling, bright, brilliant","Despite his illness, he had moments of lucid thinking."
"wane","to grow gradually smaller or less","abate","Her enthusiasm began to wane as the project dragged on."
"palpable","capable of being touched or felt : tangible","appreciable, detectable, discernible, distinguishable","The tension in the room was palpable before the announcement."
"capitulate","to surrender usually on terms agreed upon in advance","bow, budge, concede, give in","The enemy forces decided to capitulate after the long siege."
"paramount","superior to all others : supreme","arch, cardinal, central, chief","Safety is of paramount importance in this job."
"dilemma","a situation in which one has to choose between two or more things, ways, or plans that are equally unsatisfactory : a difficult choice","quandary","She faced the dilemma of choosing between two great job offers."
"visage","the face; also : an expression of the face","cast","His stern visage revealed his disapproval of the plan."
"valor","personal bravery in the face of danger","bravery","The soldier was decorated for his valor in battle."
"wan","pale, sickly","ashen","After her illness, she looked wan and tired."
"solace","comfort in times of grief or worry","cheer","She found solace in her favorite book during difficult times."
"ambiguous","able to be understood in more than one way","cryptic","The clues found by the detective were so ambiguous that he had no idea who committed the crime."
"incite","to move to action : stir up","abet, ferment, foment, instigate","The speaker's words seemed designed to incite the crowd to action."
"repugnant","incompatible","abhorrent","The idea of lying to his parents was repugnant to him."
"agile","able to move quickly and easily : nimble","graceful","A deer in the woods is the most agile of runners."
"copious","very plentiful","galore","She took copious notes during the important lecture."
"oblique","having a slanting direction or position : neither perpendicular nor parallel","askew, aslant, awry, cockeyed","He made an oblique reference to her past mistakes."
"mimic","to imitate or copy closely","imitate, copy, impersonate, ape","The child loved to mimic her favorite cartoon characters."
"counterfeit","to imitate or copy especially in order to deceive","bogus","The police discovered a counterfeit money operation."
"sanguine","having the color of blood","bloodthirsty, bloody, homicidal, murdering","Despite the setbacks, he remained sanguine about the project's success."
"submerge","to put or go underwater","deluge, drown, engulf, flood","The submarine will submerge to avoid detection."
"fallacy","a false or mistaken idea","error, falsehood, falsity, illusion","It's a fallacy to believe that money always brings happiness."
"hew","to chop down","chop (down)","The lumberjack will hew the tree into manageable logs."
"affable","being at ease and pleasant especially in conversation","breezy, devil-may-care, easygoing, happy-go-lucky","The affable host made everyone feel welcome at the party."
"ardor","a warmth of feeling","emotion, fervency, fervidness, fervor","Her ardor for music was evident in every performance."
"chaff","the seed coverings and other debris separated from the seed in threshing grain","deadwood","The farmer separated the wheat from the chaff."
"frugal","careful in spending or using resources","economical","His frugal spending habits helped him save for retirement."
"benign","of a gentle disposition : gracious","balmy","The doctor said the tumor was benign, not cancerous."
"transient","not lasting or staying long","ephemeral","The homeless shelter provides help for transient individuals."
"autocrat","a person who rules with unlimited authority","despot, dictator, oppressor, potentate","The autocrat ruled the country with absolute power."
"pernicious","very destructive or harmful","adverse","The pernicious effects of smoking are well documented."
"intrepid","feeling no fear : bold","brave","American pioneers had to be intrepid to face the dangers of the wilderness."
"guile","sly trickery : duplicity","artfulness","She used her guile to convince him to change his mind."
"blithe","of a happy carefree nature","blithesome","Her blithe attitude helped everyone stay positive."
"alleviate","to make easier to put up with : relieve","allay","Winning a million dollars would alleviate many of his financial problems."
"opulent","having or showing much wealth","affluent, flush, loaded, moneyed","The opulent mansion showcased the family's wealth."
"pique","offense taken by one treated with disrespect or looked down upon","dudgeon","His constant interruptions began to pique her annoyance."
"engender","to reproduce offspring","breed","The new policy will engender controversy among the staff."
"diminutive","a diminutive word, name, or affix","bantam","The problem was so diminutive that nobody was concerned about it."
"apex","the uppermost point : top","acme, climax, crown, culmination","At the apex of his career, he had great wealth and power."
"ignoble","not of noble birth","baseborn, common, humble, inferior","His ignoble motives were eventually exposed."
"lax","not firm or tight : loose","careless","The school's lax discipline policies led to chaos."
"lithe","easily bent : flexible","flexible, limber, lissome, pliable","The dancer's lithe movements captivated the audience."
"tenacious","not easily pulled apart","dogged","Her tenacious effort paid off when she finally graduated."
"prim","primary, primitive","prudish","The prim librarian always maintained perfect posture."
"immaculate","having no stain or blemish : pure","chaste, clean, decent, modest","Her immaculate house never had a speck of dust."
"dexterous","mentally skillful and clever : expert","clever, cunning, deft, handy","The surgeon's dexterous hands saved the patient's life."
"astute","having or showing understanding and the skill to make good choices or decisions : wise, shrewd","canny","His astute business sense made him very wealthy."
"zenith","the point in the heavens directly overhead","acme","At the zenith of her career, she won the Nobel Prize."
"veracity","devotion to the truth : truthfulness","honesty, integrity, probity, truthfulness","The witness's veracity was questioned by the defense attorney."
"dormant","not active but capable of becoming active","asleep, dozing, napping, resting","The volcano had been dormant for over a century."
"elegy","a poem or song expressing sorrow especially for one who is dead","dirge","The poet wrote a beautiful elegy for his deceased friend."
"cognizant","particular knowledge","alive","She was cognizant of the risks involved in the investment."
"morose","sullen, gloomy","black","He became morose after losing his job."
"corporeal","having, consisting of, or relating to a physical material body","animal","Unlike spirits, humans have corporeal forms."
"ire","anger, wrath","anger, rage, fury, wrath","His constant lateness raised his boss's ire."
"divulge","to make public : disclose","bare","She was angry that her sister divulged her secrets to the neighborhood gossip."
"laudable","praiseworthy","admirable","Her laudable efforts to help the homeless were recognized."
"jubilant","feeling or expressing great joy : exultant","exultant","The team was jubilant after winning the championship."
"edible","fit or safe to be eaten","eatable","Not all mushrooms in the forest are edible."
"squalid","filthy or degraded as a result of neglect or the lack of money","","The squalid living conditions shocked the social worker."
"taciturn","tending to not speak","closemouthed","Jean complains that her husband is so taciturn that she can't even have an argument with him."
"indelible","impossible to erase, remove, or blot out","","The tragic event left an indelible mark on her memory."
"travail","work especially of a painful or difficult nature : toil","drudgery","After much travail, she finally completed her dissertation."
"abet","to actively encourage or aid","ferment, foment, incite, instigate","The stranger abetted the lost child by taking him to the police station."
"antithesis","the exact opposite : contrary","antipode","His lazy attitude was the antithesis of hard work."
"ruminate","to spend time thinking : meditate","chew over","She would ruminate on the decision for hours."
